epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.80923,1.07735,2.99051,1.46208,0.00389,1,0.41212,0.32295,0.50381,2.92821,1.12273,8e-05,8e-05,8e-05
2,2.61508,0.90602,2.39954,1.29527,0.00389,1,0.76743,0.60979,0.50186,2.87587,1.16806,0.000178218,0.000178218,0.000178218
3,3.35054,1.02168,1.99695,1.46671,0.00389,1,0.85704,0.66688,0.42533,2.83177,1.10718,0.000274456,0.000274456,0.000274456
4,4.13232,0.98651,1.61749,1.39291,0.00389,1,0.79872,0.66777,0.49883,2.7466,1.08893,0.000368714,0.000368714,0.000368714
5,4.93115,0.90518,1.46991,1.39592,1,0.25438,0.85697,0.71069,0.57509,2.59262,1.15916,0.000460992,0.000460992,0.000460992
6,5.62926,0.86762,1.82764,1.36639,1,0.84645,0.85699,0.68582,0.66881,2.26807,1.20217,0.00055129,0.00055129,0.00055129
7,6.35477,0.79982,1.56656,1.31724,0.95836,0.85714,0.85713,0.62449,0.80455,2.33817,1.34633,0.000639608,0.000639608,0.000639608
8,7.10074,0.88149,1.4082,1.32843,1,0.64807,0.85702,0.70874,0.75517,2.29422,1.21635,0.000725946,0.000725946,0.000725946
9,7.83737,0.79934,1.51262,1.35556,0.97731,0.85714,0.85685,0.63528,0.72428,2.15304,1.23917,0.000810304,0.000810304,0.000810304
10,8.595,0.78878,1.40157,1.23223,0.97102,0.85714,0.85641,0.5989,0.89066,2.20303,1.46989,0.000892682,0.000892682,0.000892682
11,9.29472,0.93606,1.99705,1.40002,0.87739,0.85714,0.85654,0.63209,1.03455,2.47557,1.61766,0.00097308,0.00097308,0.00097308
12,10.0369,0.8614,1.41361,1.35413,0.83394,0.85714,0.79579,0.61956,0.89405,2.34806,1.42488,0.0010515,0.0010515,0.0010515
13,10.7341,0.72151,1.34674,1.11189,0.98876,0.85714,0.86083,0.74764,0.73722,1.87005,1.30084,0.00112794,0.00112794,0.00112794
14,11.4202,1.04467,1.33284,1.44168,0.98876,0.85714,0.86083,0.74764,0.73722,1.87005,1.30084,0.00120239,0.00120239,0.00120239
